排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
873,2910,統領,30,-0.25,-0.8%,2014,9.81,47.8,4.96,21.8,1.71,70.7,50.5,-10.8,17.4,2.34,3.24,1.2,7.59,3.15,0.97,0.4,47
1029,2478,大毅,14.05,-0.2,-1.4%,2014,40.4,5.45,6.05,17.4,1.71,125,15,1.53,4.47,2.25,2.62,1.32,3.61,1.81,0.67,0.36,49
1096,6015,宏遠證,7.38,-0.12,-1.6%,2014,10.8,1.06,9.76,-0.04,1.71,-36.4,90.5,-0.99,15.9,-9.33,1.34,-0.92,3.43,-1.63,0.4,-0.21,52
471,6207,雷科,27.3,0,0%,2014,19.4,1.45,4.99,36.6,1.7,1957,25.7,6.61,8.76,8.28,5.18,4.89,12.2,11.4,2.03,1.93,47
658,4510,高鋒,19.7,0.6,+3.1%,2014,21,3.75,4.96,11.9,1.7,26.7,23.7,1.72,8.09,1.46,5.44,-0.19,10.5,-0.11,1.76,0.26,47
425,3390,旭軟,25.5,-1.85,-6.8%,2014,12.8,14.5,3.75,9.83,1.68,-30.9,29.2,-1.25,13.1,-8.63,9.79,-4.05,12,-6,2.62,-1.29,62
710,1592,F-英瑞,28.45,-0.5,-1.7%,2014,48,,14.5,,1.68,,30.2,,3.5,,2.84,,5.53,,1.83,,36
338,4991,F-環宇,84.2,-0.8,-0.9%,2014,13.5,29.1,5.42,28.9,1.67,49.6,40.1,-0.05,12.3,1.69,13.8,0.51,16.8,0.91,4.01,0.95,66
598,1236,宏亞,24.35,-0.25,-1%,2014,23.7,-11.7,6.35,-19.3,1.67,23,26.8,-2.52,7.06,1.99,5.51,0.82,9.84,0.84,1.55,0.29,47
424,3338,泰碩,25.1,-0.1,-0.4%,2014,26.3,-6.12,6.11,4.19,1.66,15.5,23.2,2.3,6.31,1.18,7.87,0.61,15.7,-0.77,2.38,0.04,49
392,6217,中探針,41.8,-0.85,-2%,2014,14.3,33.3,5.68,30.1,1.65,69,39.8,-0.98,11.6,2.45,9.86,3.67,17.3,5.12,3.3,1.29,60
958,1809,中釉,11.8,-0.1,-0.8%,2014,35.8,2.17,7.82,5.95,1.65,15.4,21.9,0.78,4.88,0.48,2.93,0.31,3.93,0.3,0.87,0.12,49
827,1734,杏輝,27.95,-0.3,-1.1%,2014,26.4,2.49,10.8,12.4,1.63,-45.7,41,3.61,3.75,-8.85,1.63,-4.7,2.61,-7.8,1.01,-1,57
499,1541,錩泰,20.8,-0.1,-0.5%,2014,26.9,46.2,4.1,80,1.62,-813,15.3,2.87,6.04,7.28,8.35,9.76,16.9,19.5,2.06,2.35,32
617,9931,欣高,33.25,0,0%,2014,15.8,9.93,2.19,61.7,1.61,-28.1,13.9,4.46,10.3,-5.71,4.76,-2.08,10.4,-5.21,1.57,-0.79,47
901,6220,岳豐,12.5,-0.2,-1.6%,2014,65.9,14.3,11.3,23,1.6,1694,17.1,1.21,2.44,2.28,3.21,3,7.78,7.28,1.4,1.32,36
515,5439,高技,20.55,-0.1,-0.5%,2014,18.4,15.3,2.88,27.5,1.59,58.1,15.7,1.51,8.65,2.34,9.07,3.15,13.1,4.69,2.04,0.75,43
460,8436,大江,84,1.4,+1.7%,2014,14.6,3.62,4.79,3.07,1.58,10.1,33,-0.18,10.8,0.58,7.42,-2.31,10.7,-4.73,3.08,-0.47,55
778,8043,蜜望實,16.15,-0.05,-0.3%,2014,46.4,1.49,4,16.4,1.57,-8.3,8.63,1.11,3.38,-0.36,4.62,-0.96,7.19,-0.97,1.8,-0.07,40
683,2642,宅配通,31.2,-0.75,-2.3%,2014,25.7,-0.36,5.19,-10.6,1.56,-15.5,20.2,-2.31,6.08,-1.09,7.14,-2.52,9.41,-4.77,1.63,-0.5,52
272,6292,迅德,31.9,0,0%,2014,13.9,-0.35,3.78,-6.29,1.55,21.6,27.1,-1.72,11.1,2,10.8,1.35,15.9,2.44,3.31,0.59,55
489,6201,亞弘電,25.9,0,0%,2014,35.7,-2.07,6.09,3.6,1.55,51.3,17.1,0.94,4.36,1.54,4.65,1.59,6.5,2.26,1.74,0.59,48
1009,9934,成霖,13.1,-0.1,-0.8%,2014,200,6.24,53,5.81,1.54,-92,26.5,-0.11,0.79,-9.54,0.94,-11.3,2.32,-27.2,0.44,-5.93,38
152,2235,謚源,99,0.6,+0.6%,2014,8.46,22.1,2.41,36.7,1.53,43.1,28.5,3.03,18.1,2.65,10.7,2.99,20.2,2.48,5.44,1.61,57
414,2904,匯僑,27.85,0.05,+0.2%,2014,5.33,3.35,2.16,3.94,1.53,1.01,40.5,0.23,28.8,-0.43,14.6,0.83,15.7,0.87,2.22,0.02,86
1017,5014,建錩,8.75,-0.02,-0.2%,2014,139,19,8.95,95.3,1.53,-303,6.46,2.52,1.31,2.05,2.51,3.83,6.89,10.3,0.92,1.38,28
1168,3561,昇陽科,17.4,0.35,+2.1%,2014,96.4,37.3,6.37,69.2,1.52,-141,6.61,1.25,1.58,6.84,1.14,4,1.97,7.2,0.42,1.6,36
570,6411,晶焱,44.5,-1.3,-2.8%,2014,16.3,19.6,5.36,18.6,1.51,-1.39,32.9,-0.29,9.26,-1.97,9.48,-2.18,13.7,-2.35,2.45,-0.31,57
682,2462,良得電,18.6,-0.4,-2.1%,2014,45,-0.56,5.14,-24.5,1.51,-21.6,11.4,-3.62,3.36,-0.9,3.75,-1.39,7.85,-3.51,1.48,-0.73,38
434,5016,松和,27.7,-0.25,-0.9%,2014,27.1,3.46,3.36,11.5,1.5,50.5,12.4,0.89,5.54,1.74,5.27,1.67,14,4.11,3.02,1.01,40
692,3163,波若威,46.1,0.1,+0.2%,2014,18.7,-19.1,3.36,-37.4,1.49,-62,18,-5.25,7.97,-8.95,6.64,-13.7,9.8,-20.5,2.08,-3.58,45
752,3624,光頡,25.35,-0.45,-1.7%,2014,14.4,9.04,4.22,-0.6,1.49,-14.3,29.4,-2.85,10.3,-2.82,4.85,-2.4,6.67,-2.3,1.32,-0.68,48
766,5403,中菲,21.15,-0.05,-0.2%,2014,12.7,-12.1,3.6,3.2,1.49,7.75,28.3,4.19,11.7,2.15,5.84,-1.34,14.3,-3.35,2.04,-0.56,47
945,2419,仲琦,13.1,-0.3,-2.2%,2014,61.2,-10.5,15.4,-9.76,1.49,99.2,25.2,0.21,3.82,1.69,3.42,1.05,7.2,2.37,0.64,0.29,43
303,3332,幸康,41.85,0,0%,2014,11.7,3.29,4.21,4.28,1.48,-12.9,36,0.34,12.6,-2.34,9.18,-2.06,11,-2.34,3.07,-0.45,61
1012,2457,飛宏,11.45,-0.1,-0.9%,2014,124,2.94,17.3,-6.62,1.48,-3.07,13.9,-1.42,1.19,-0.06,1.36,-0.16,2.42,-0.13,0.53,-0.02,47
1087,2516,新建,7.68,-0.02,-0.3%,2014,118,15.6,3.38,211,1.46,-522,2.87,1.8,1.27,1.54,1.61,1.93,5.15,6.15,0.65,0.8,40
345,8424,惠普,46.15,0,0%,2014,8.6,4.67,2.41,10.4,1.45,16.2,28,1.46,16.8,1.68,15.9,1.51,18.4,1.54,4.02,0.21,70
743,3323,加百裕,18.5,-0.1,-0.5%,2014,48,5.45,4.66,55.2,1.45,2619,9.71,3.11,3.02,2.9,3.56,3.43,6.11,5.88,1.53,1.47,36
768,5438,東友,11.9,-0.05,-0.4%,2014,25.6,-17.3,6.05,3.28,1.45,108,23.7,4.72,5.43,3.97,4.82,3.09,7.2,4.58,1.29,0.67,47
883,4755,三福化,24.35,-0.25,-1%,2014,34.8,8.13,3.27,-13.2,1.45,10.4,9.4,-2.31,4.15,0.08,4.48,0.25,6.2,-0.06,1.63,0.01,36
1111,4306,炎洲,12.9,-0.05,-0.4%,2014,200,1.91,20.8,-23.6,1.45,-80.4,10.4,-3.47,2.47,-2.56,1.5,-2.03,4.17,-5.12,0.28,-1.4,36
480,3315,宣昶,19,-0.2,-1%,2014,91.8,4.95,6.07,5.14,1.44,137,6.6,0.01,1.56,0.87,3.27,1.84,8.77,4.91,2.04,1.18,34
1064,3545,敦泰,32.95,-0.5,-1.5%,2014,98.9,5.66,13,-12.1,1.44,-60.3,13.1,-2.65,1.46,-2.42,2.43,-3.33,5.04,-7.41,1.04,-1.58,32
1122,1110,東泥,15.05,-0.15,-1%,2014,20.8,2.65,2.12,-17.6,1.42,-2.92,10.2,-2.51,6.85,-0.41,1.49,-0.08,1.62,-0.1,0.25,-0.01,45
1148,2431,聯昌,16.8,-0.4,-2.3%,2014,43.1,67.5,5.36,64,1.42,154,12.4,-0.26,3.3,1.13,4.81,2.6,8.89,5.07,1.28,0.78,32
509,1473,台南,29.7,-0.25,-0.8%,2014,91.4,-2.1,16.5,-30.9,1.41,-40,18,-7.51,-1.52,-0.72,-1.63,-0.74,-2.95,-1.4,0.97,-0.65,32
932,8059,凱碩,14.45,-0.55,-3.7%,2014,22.3,58.9,3.89,107,1.41,-1597,17.5,4.05,6.36,7.03,9.3,9.98,15,16.1,1.55,1.65,53
1057,5355,佳總,7.36,0.01,+0.1%,2014,16.6,1.53,3.06,-20,1.41,-36.6,18.5,-4.97,8.5,-5.11,5.69,-4.18,7.87,-6.42,0.84,-0.54,53
217,5474,聰泰,72.1,2,+2.9%,2014,8.03,20.6,2.93,31.1,1.4,55.3,36.4,2.91,17.4,3.9,18,5.11,25.8,8.31,4.16,1.48,70
960,2012,春雨,15.35,0.3,+2%,2014,91.8,9.28,14,4.06,1.4,-1.25,15.3,-0.77,2.05,-0.51,1.74,-0.23,4.5,-0.74,0.53,-0.01,36
1021,6020,大展證,15.6,-0.2,-1.3%,2014,2.92,-34.5,2.81,-35.5,1.4,-55.2,96.3,-1.43,48.3,-22,3.02,-4.15,3.81,-5.21,0.56,-0.79,70
703,5392,應華,62.1,-2.9,-4.5%,2014,37.2,-3.73,3.69,25.9,1.39,-18.9,9.91,2.33,1.78,-2.57,0.89,-1.62,1.28,-2.74,1.5,-0.71,47
782,8917,欣泰,50.9,0.4,+0.8%,2014,20.5,4.79,2.37,-4.95,1.39,-5.88,11.6,-1.18,6.77,-0.77,4.75,-0.68,7.89,-0.38,1.14,-0.1,51
1040,6173,信昌電,10.5,-0.1,-0.9%,2014,25.1,17.9,4.56,36.4,1.39,589,18.2,2.46,5.53,4.58,3.82,3.23,5.31,4.5,0.75,0.64,45
557,4205,中華食,37.5,-0.2,-0.5%,2014,12.3,1.9,3.81,-2.99,1.38,2.26,30.9,-1.56,11.2,0.04,9.85,0.2,11.9,0.3,1.9,0.04,70
587,5301,寶得利,59.5,-0.4,-0.7%,2014,18.9,125,13.3,379,1.38,173,70.4,37.4,7.32,1.29,12.5,3.94,18.6,-1.2,1.73,0.9,57
204,5272,笙科,60.8,0.1,+0.2%,2014,7.34,13,4.18,15.5,1.37,14.8,57,1.23,18.6,0.29,14.1,1.72,15.5,1.99,2.97,0.29,77
352,5284,F-jpp,55.5,0.1,+0.2%,2014,10.7,1.48,3.44,19.8,1.37,29.6,32,4.89,12.7,2.76,9.79,1.48,15.9,1.02,4.43,0.13,52
