4995,晶達,7.22,2.17
5009,榮剛,6.23,0.81
5011,久陽,0,1.4
5013,強新,2.9,1.14
5014,建錩,0,0.64
5015,華祺,8.37,1.33
5016,松和,4.93,1.08
5102,富強,4.96,1.03
5201,凱衛,8.91,1.06
5202,力新,0,1.81
5205,漢康,0,8.05
5206,坤悅,5.13,0.68
5209,新鼎,6.5,1.71
5210,寶碩,0,0.51
5211,蒙恬,2.96,1.18
5212,凌網,3.87,1.86
5213,亞昕,7.94,0.7
5230,雷笛克,3.64,1.48
5245,智晶,2.23,7.46
5251,天鉞電,6.92,1.2
5255,美桀,0,0.97
5263,智崴,1.09,3.87
5272,笙科,2.62,2.15
5274,信驊,2.61,8.18
5278,尚凡,0,2.19
5287,數字,4.92,5.16
5289,宜鼎,4.98,2.6
5291,邑昇,2.1,0.69
5301,寶得利,1.79,1.79
5302,太欣,0,0.47
5304,鼎創達,0,1.12
5306,桂盟,2.08,3.45
5309,系統電,0,1.42
5310,天剛,1.15,2.05
5312,寶島科,4.77,1.92
5314,世紀,0,0.96
5315,光聯,0,2.85
5317,凱美,0,1.15
5321,友銓,0,3.09
5324,士開,0,1.36
5328,華容,0,0.57
5340,建榮,0,0.63
5344,立衛,0,0.68
5345,天揚,3.48,0.91
5347,世界,4.89,3.02
5348,系通,0,1.54
5349,先豐,5.5,2.64
5351,鈺創,0,1.22
5353,台林,2.58,0.8
5355,佳總,0,0.48
5356,協益,9.69,0.96
5364,力麗店,3.83,1.27
5371,中光電,4.89,0.72
5381,合正,0,0.75
5383,金利,0,0.87
5384,捷元,4.29,0.88
5386,青雲,7.92,1.84
5392,應華,2.12,1.07
5395,圓方,1.5,0.76
5398,力瑋,0,3.88
5403,中菲,9.51,1.37
5410,國眾,9.49,1.01
5425,台半,6.6,1.57
5426,振發,4.76,0.8
5432,達威,0,1.15
5438,東友,9.34,0.79
5439,高技,5.17,1.78
5443,均豪,4.95,1.13
5450,寶聯通,0,0.83
5452,佶優,1.64,0.93
5455,訊利電,0,2.07
5457,宣德,1.78,2.47
5460,同協,6.53,0.88
5464,霖宏,9.26,0.93
5465,富驊,1.94,1.23
5468,凱鈺,0,0.9
5474,聰泰,6.87,2.85
5475,德宏,0,0.41
5478,智冠,2.24,1.52
5480,統盟,4.85,0.49
5481,華韡,0,1.43
5483,中美晶,4.18,0.88
5487,通泰,7.44,1.03
5488,松普,0,0.51
5489,彩富,7.46,2.12
5490,同亨,7.44,3.02
5491,連展,0,0.43
5493,三聯,6.95,1.49
5498,凱崴,0,0.69
5508,永信建,8.42,1.42
5511,德昌,2.64,1.03
5512,力麒,5.54,0.49
5514,三豐,0,0.72
5516,雙喜,0,0.89
5520,力泰,5.44,1.04
5523,豐謙,0,0.74
5529,志嘉,0,1
5530,龍巖,6.61,2.5
5536,聖暉,7.45,1.27
5601,台聯櫃,1.93,1.21
5603,陸海,7.91,0.91
5604,中連貨,8.73,1.61
5609,中菲行,5.9,1.09
5701,劍湖山,0,0.43
5703,亞都,2.26,1.66
5704,老爺知,3.62,2.19
5820,日盛金,7.88,0.62
5878,台名,6.76,2.29
5902,德記,0,1.97
5903,全家,2.27,9.36
5904,寶雅,2.63,10.81
5905,南仁湖,4.02,0.62
6015,宏遠證,0,0.53
6016,康和證,3.32,0.5
6020,大展證,0,0.82
6021,大慶證,0,0.61
6022,大眾證,3.4,0.64
6023,元大期,6.32,1.18
6024,群益期,6.8,1.44
6026,福邦證,3.75,0.7
6101,弘捷,0,1.89
6103,合邦,0,9.68
