上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"3529","力旺","46.36","6.00","1.85","12.34"
"3531","先益","33.30","0.25","1.60","0.55"
"3537","堡達","15.59","1.20","6.06","1.16"
"3540","曜越","16.25","0.35","1.92","0.90"
"3541","西柏","23.96","4.00","4.27","4.75"
"3546","宇峻","278.00","0.00","0.00","1.63"
"3548","兆利","13.21","1.30","2.09","1.17"
"3551","世禾","10.40","2.00","6.41","0.66"
"3552","同致","34.04","3.40","0.77","9.02"
"3553","力積","N/A","0.20","1.83","0.84"
"3555","重鳥鵬","N/A","0.00","0.00","4.20"
"3556","禾瑞亞","12.23","3.70","7.18","2.37"
"3558","神準","10.17","13.00","8.02","2.92"
"3562","頂晶科","N/A","0.00","0.00","2.09"
"3563","牧德","12.32","3.60","8.16","1.80"
"3564","其陽","8.94","3.00","5.45","1.99"
"3567","逸昌","12.25","1.10","6.41","1.22"
"3570","大塚","11.16","3.50","6.74","1.59"
"3577","泓格","19.80","1.30","3.67","1.83"
"3580","友威科","N/A","0.00","0.00","1.62"
"3581","博磊","19.76","1.00","6.17","1.09"
"3587","閎康","18.62","3.00","3.77","2.84"
"3594","磐儀","25.77","0.50","1.87","1.31"
"3609","東林","N/A","0.00","0.00","0.72"
"3611","鼎翰","17.00","10.00","3.90","4.67"
"3615","安可","113.44","0.30","1.65","0.50"
"3623","富晶通","11.08","5.50","9.26","2.91"
"3624","光頡","23.33","2.50","8.71","1.34"
"3625","西勝","42.76","0.00","0.00","1.01"
"3628","盈正","17.91","3.25","7.50","1.15"
"3629","卓韋","N/A","0.00","0.00","4.15"
"3630","新鉅科","N/A","0.00","0.00","0.85"
"3631","晟楠","N/A","0.00","0.00","1.14"
"3632","研勤","18.96","0.00","0.00","1.54"
"3642","駿熠電","N/A","0.00","0.00","1.37"
"3646","艾恩特","34.86","1.00","7.75","1.00"
"3652","精聯","41.79","0.70","3.99","0.72"
"3658","漢微科","44.22","16.00","1.20","7.35"
"3662","樂陞","30.11","1.50","1.42","2.15"
"3663","鑫科","N/A","0.00","0.00","1.02"
"3664","F-安瑞","11.52","0.00","0.00","0.95"
"3666","光耀","18.73","1.00","4.52","1.12"
"3672","康聯訊","12.18","2.40","7.04","1.93"
"3675","德微","12.06","0.63","2.56","1.13"
"3680","家登","295.91","0.50","1.54","1.89"
"3684","榮昌","10.32","4.00","7.86","2.53"
"3685","政翔","N/A","0.00","0.00","4.47"
"3687","歐買尬","N/A","0.00","0.00","1.61"
"3689","湧德","16.50","1.50","5.14","0.78"
"3691","碩禾","10.84","20.00","4.21","3.91"
"3693","營邦","15.16","5.30","5.66","1.92"
"3707","漢磊","N/A","0.00","0.00","0.79"
"4102","永日","N/A","0.00","0.00","1.63"
"4103","百略","14.29","4.00","4.84","2.59"
"4105","東洋","20.45","3.50","3.06","5.37"
"4107","邦特","32.37","2.60","1.66","5.46"
"4109","穆拉德","43.98","0.50","2.32","1.67"
"4111","濟生","30.81","0.60","2.63","1.29"
"4113","聯上","8.29","0.81","7.96","0.57"
"4114","健喬","26.56","0.00","0.00","1.86"
"4116","明基醫","22.34","1.50","2.57","2.50"
"4120","友華","17.32","1.80","3.31","1.52"
"4121","優盛","N/A","0.00","0.00","0.96"
"4123","晟德","39.07","0.00","0.00","2.57"
"4126","太醫","19.93","2.50","2.14","3.63"
"4127","天良","35.66","0.30","1.59","1.03"
"4128","中天","N/A","0.00","0.00","1.40"
"4129","聯合","29.60","1.60","1.95","3.18"
"4130","健亞","94.00","0.50","1.06","1.80"
"4131","晶宇","N/A","0.00","0.00","2.13"
"4138","曜亞","14.82","3.63","5.76","1.41"
"4139","F-馬光","N/A","0.00","0.00","3.97"
"4147","中裕","N/A","0.00","0.00","11.48"
"4152","台微體","N/A","0.00","0.00","3.13"
"4153","鈺緯","18.17","3.50","5.98","2.18"
"4154","F-康樂","N/A","0.00","0.00","2.20"
"4157","F*太景","N/A","0.00","0.00","24.66"
"4160","創源","N/A","0.00","0.00","2.10"
"4161","聿新科","315.79","0.50","0.83","2.93"
"4162","智擎","60.37","4.00","1.76","7.36"
"4163","鐿鈦","22.88","4.50","2.61","4.78"
"4167","展旺","N/A","0.00","0.00","3.55"
"4168","醣聯","N/A","0.00","0.00","1.37"
"4171","瑞基","N/A","0.00","0.00","3.16"
"4173","久裕","38.60","0.30","1.34","0.92"
"4174","浩鼎","N/A","0.00","0.00","13.79"
"4175","杏一","19.72","4.00","4.43","3.28"
"4180","安成藥","N/A","0.00","0.00","2.69"
"4188","安克","N/A","0.00","0.00","3.79"
"4192","杏國","N/A","0.00","0.00","2.65"
"4198","環瑞醫","N/A","0.00","0.00","3.20"
"4205","中華食","15.48","2.00","4.75","2.39"
"4207","環泰","85.00","0.00","0.00","1.00"
"4303","信立","16.83","0.60","4.35","1.27"
"4304","勝昱","N/A","0.00","0.00","0.87"
"4305","世坤","9.65","2.30","7.67","1.67"
"4401","東隆興","19.36","3.60","3.96","4.16"
"4402","福大","N/A","0.00","0.00","1.86"
"4406","新昕纖","68.13","0.00","0.00","0.98"
"4413","飛寶","44.59","0.00","0.00","8.87"
"4415","台原藥","N/A","0.00","0.00","49.33"
"4416","三圓","5.63","4.50","5.63","1.81"
"4417","金洲","11.22","1.80","5.16","1.44"
"4419","松懋","N/A","0.00","0.00","1.91"
"4420","光明","10.78","0.00","0.00","1.93"
"4429","聚紡","46.43","0.50","2.20","0.73"
"4430","耀億","12.56","1.20","4.36","0.79"
"4432","銘旺實","13.94","4.00","5.76","2.26"
"4433","興采","12.86","1.00","3.17","1.38"
"4502","健信","119.05","0.00","0.00","3.99"
"4503","金雨","125.00","0.00","0.00","2.47"
"4506","崇友","9.74","1.70","6.00","1.53"
"4510","高鋒","23.89","0.80","4.65","0.81"
"4513","福裕","7.59","0.50","5.40","0.75"
"4523","永彰","N/A","0.20","1.00","0.66"
"4527","方土霖","10.25","1.80","7.35","1.45"
"4528","江興鍛","16.06","2.00","3.95","2.26"
"4529","昶洧","N/A","0.00","0.00","1.50"
"4530","宏易","N/A","0.00","0.00","0.76"
"4533","協易機","15.65","0.50","3.76","0.79"
"4534","慶騰","47.25","0.50","1.49","2.76"
"4535","至興","12.01","2.25","5.43","1.36"
"4541","晟田","49.26","0.90","2.69","1.32"
"4542","科嶠","N/A","0.60","3.40","0.93"
"4543","萬在","18.08","0.00","0.00","0.90"
